data_autuacao	cod_disciplina_ufabc_edit	disciplina_ufabc_edit	ch_disciplina_ufabc_edit	disciplina_fora	disciplina 1	disciplina 2	disciplina 3	disciplina 4	disciplina 5	disciplina 6	disciplina 7	disciplina 8	disciplina 9	Parecer
2024.2	BCS0001-15	BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS	36h	6236 / QUIMICA DAS TRANSFORMACOES EXPERIMENTAL / 36H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	6236 / QUIMICA DAS TRANSFORMACOES EXPERIMENTAL / 36H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	BIJ0207-15	BASES CONCEITUAIS DA ENERGIA	24h	6234 / FISICA 1 / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	6234 / FISICA 1 / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	BIK0102-15	ESTRUTURA DA MATÉRIA	36h	2230 / ESTRUTURA DA MATERIA / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	2230 / ESTRUTURA DA MATERIA / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	BCN0402-15	FUNÇÕES DE UMA VARIÁVEL	48h	2228 / CALCULO 1 / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	2228 / CALCULO 1 / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	BCK0104-15	INTERAÇÕES ATÔMICAS E MOLECULARES	36h	2592 / FISICO-QUIMICA / 108H / 2022.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO	2592 / FISICO-QUIMICA / 108H / 2022.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	BCL0307-15	TRANSFORMAÇÕES QUÍMICAS	60h	6235 / QUIMICA DAS TRANSFORMACOES / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	6235 / QUIMICA DAS TRANSFORMACOES / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	BIL0304-15	EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36h	FBIG1 / Fundamentos da Biologia / 31,7h / 2021.1/ Instituto Federal de educação, Ciência e tecnologia de São Paulo	FBIG1 / Fundamentos da Biologia / 31,7h / 2021.1/ Instituto Federal de educação, Ciência e tecnologia de São Paulo	FECG2 / Fundamentos da Ecologia / 31,7h / 2021.2/ Instituto Federal de educação, Ciência e tecnologia de São Paulo								Indeferido
2024.2	ESTA019-17	PROJETO ASSISTIDO POR COMPUTADOR	24h	05336/DESENHO ASSISTIDO POR COMPUTADOR I /42,70/2016.2/INSTITUTO FEDERAL DE EDUCAÇÃO,CIÊNCIA E TECNOLOGIA DE SÃO PAULO	05336/DESENHO ASSISTIDO POR COMPUTADOR I /42,70/2016.2/INSTITUTO FEDERAL DE EDUCAÇÃO,CIÊNCIA E TECNOLOGIA DE SÃO PAULO	05345/DESENHO ASSISTIDO POR COMPUTADOR II /42,70/2017.1/INSTITUTO FEDERAL DE EDUCAÇÃO,CIÊNCIA E TECNOLOGIA DE SÃO PAULO								Indeferido
2024.2	BCS0002-15	PROJETO DIRIGIDO	24h	05378/PROJETO INTEGRADO /71,20/2019.1/INSTITUTO FEDERAL DE EDUCAÇÃO,CIÊNCIA E TECNOLOGIA DE SÃO PAULO	05378/PROJETO INTEGRADO /71,20/2019.1/INSTITUTO FEDERAL DE EDUCAÇÃO,CIÊNCIA E TECNOLOGIA DE SÃO PAULO									Deferido
2024.2	BIK0102-15	ESTRUTURA DA MATÉRIA	36h	ECA B 10203 / QUÍMICA GERAL / 80h / 2022.2 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B 10203 / QUÍMICA GERAL / 80h / 2022.2 / FACULDADE ENGENHEIRO SALVADOR ARENA									Deferido
