DISCIPLINA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
ESZR007-21,0.011972113,0.005707808,0.0010534413,-0.012386829,0.01436984,0.008323086,-0.0022811908,-0.0059628002,-0.010825077,0.009220133,-0.0076729935,0.009838996,-0.007474052,-0.009607982,0.011563174,-0.002355231,-0.001602497,-0.0008914899,-0.008482724,0.01146511,-0.0049075317,-0.005978223,0.012127524,0.013490142,0.0033916421,-0.0051392037,-0.0074505135,0.003610976,0.008040963,0.006601475,-0.0026713442,0.015534919,-0.004378194,0.013380002,-0.006973438,0.014466815,0.00448915,0.009575708,-0.008798212,-0.015128966,-0.0027454663,-0.0131020695,-0.0040284283,-0.005455354,0.013188679,-0.006604284,-0.00921425,-0.006908767,0.003900664,0.0005755201,-0.011425732,0.008189436,0.011104664,0.0021780804,-0.0027707964,0.013406005,-0.015152942,0.0010045953,-0.0113108605,0.008533424,-0.0047402456,-0.004959099,-0.00018574484,0.006997401
NHBB003-23,-0.11907389,0.11101269,0.14705124,0.108581245,-0.00939597,-0.17716858,0.19739975,-0.039576974,0.032392256,-0.00089384936,0.12686794,0.16520706,0.21089163,-0.22321182,-0.120623566,0.052797526,-0.077381834,0.13525735,0.28283817,0.2602419,-0.16833392,0.0899278,0.18108141,-0.35095078,-0.08912573,0.2370513,-0.13415098,0.06950808,0.21165584,0.10260786,0.1857715,0.24396294,-0.4121324,-0.029965948,0.0048689106,0.00934534,-0.03551475,0.27732992,0.16395573,0.025077146,0.35498032,0.072693326,0.05788636,-0.008341756,0.027870085,-0.014439033,0.11959203,-0.34885952,-0.18681647,0.07958473,0.26602986,0.042296223,-0.0061568273,0.18238893,0.080706336,-0.030860653,0.010338134,-0.015619851,0.070765294,-0.24786213,0.0675897,-0.12869821,-0.095166594,0.066057935
NHBB004-23,-0.1178148,0.08070925,0.12521036,0.09763021,0.012962118,-0.11645238,0.16970581,-0.041056387,0.057316475,-0.016327249,0.14828146,0.158189,0.24530591,-0.2071415,-0.13561834,0.005315006,-0.07220631,0.14024475,0.32239926,0.29179415,-0.20460479,0.05212367,0.21330363,-0.33701807,-0.09364884,0.21410516,-0.07866748,0.04841671,0.23033339,0.10509817,0.16430931,0.21386328,-0.44572696,-0.033764157,0.009607941,0.047247052,-0.11114979,0.25106388,0.22783254,0.04196749,0.34291282,0.05993144,0.08235786,-0.0188474,0.055497043,-0.027723264,0.13559525,-0.3302578,-0.16068834,0.06104655,0.27516747,0.02595616,0.042104192,0.21370973,0.047704592,-0.01287049,-0.013879324,-0.040595073,0.1217795,-0.2646623,0.09973896,-0.123136975,-0.11489521,0.097679146
NHBB005-23,-0.017913114,0.3229333,0.20279995,0.13328359,0.00829747,-0.21390928,0.28597406,-0.10315915,0.086130776,0.03188035,0.36255634,0.2367,0.52828175,-0.42309192,-0.07719424,0.13291222,-0.03683358,0.2107189,0.4755514,0.25137538,-0.16108191,0.15691271,0.33051473,-0.502279,-0.19948478,0.38846985,-0.108950146,0.2887378,0.3682965,0.044966593,0.23758674,0.4056305,-0.5864196,-0.015067626,-0.060221106,-0.1320308,-0.022467624,0.3978715,0.3245592,0.09639444,0.6152901,0.18580979,-0.00068097794,-0.061259653,0.1368667,0.016596768,0.054244958,-0.40718794,-0.29810405,0.18076059,0.28283545,0.041068986,0.013148594,0.32578743,0.06853493,-0.024000986,0.025301356,-0.11319219,0.12924904,-0.38234833,0.13855119,-0.1982305,-0.014557965,0.07819307
NHBB006-23,-0.35753024,0.07096997,0.44197926,0.10220116,0.4051219,-0.2894283,0.124934115,0.0028547593,0.42889455,-0.24298884,0.52244776,0.1324329,0.08935188,-0.25856823,-0.6059478,0.032408483,0.05169291,0.12474871,0.84337765,0.78164905,0.053817462,-0.16254972,0.40849185,-0.98229975,-0.9144066,0.5704906,-0.32266036,-0.01586135,0.58835554,0.017612476,0.26330212,0.21473664,-1.3013208,0.4406879,0.10914867,0.4968853,0.48793855,0.7743533,0.67306536,-0.42458537,0.1347954,0.5482503,0.234865,-0.4564665,0.85430676,-0.051912148,0.7657929,-0.7206674,-0.7106559,-0.049209673,0.28968358,-0.079098806,-0.20129094,0.5560197,0.7280223,-0.39325354,-0.023130786,0.0141157545,-0.020055685,-0.87192947,0.36835855,-0.37150615,0.15774511,-0.28322068
NHBB007-23,-0.11094376,0.09551414,0.11910682,0.070802376,-0.0031740973,-0.12854083,0.14333478,-0.021673812,0.065100595,-0.028132379,0.1536761,0.17645311,0.2127866,-0.19995907,-0.105816625,0.03936791,-0.054985307,0.12793759,0.25866967,0.22365786,-0.19042408,0.07914967,0.1808054,-0.28145495,-0.08012339,0.22342953,-0.10051329,0.037367396,0.17796789,0.085667744,0.15498479,0.22821651,-0.41401088,0.00011764308,0.010687874,0.022506572,-0.09026256,0.24702217,0.1612145,0.031808827,0.29918647,0.051702898,0.09188705,-0.00849019,0.036586303,-0.005346838,0.101399824,-0.2861958,-0.15386665,0.05903425,0.22882901,0.010204596,0.012907935,0.18791464,0.051199727,-0.021070836,-0.017671525,-0.022724306,0.07927417,-0.20701948,0.07321268,-0.11299738,-0.08540401,0.06282768
NHBB008-23,-0.18906723,0.09193564,0.32519028,0.42430764,-0.09532822,-0.42250168,0.44659275,-0.052038636,-0.11059801,-0.0642368,0.2206936,0.46964547,0.42311347,-0.1126293,-0.18536216,0.0405796,-0.24697818,0.32982278,0.23078667,0.2857915,-0.18004268,0.29940385,0.37778094,-0.69057953,0.007673222,0.2856002,-0.21702167,0.2728902,0.18657576,0.15623224,0.26062912,0.60095143,-0.4802909,0.031361736,0.11353736,0.0719356,0.038808487,0.41479826,0.26399606,0.024560029,0.63428533,0.22404431,0.09190121,-0.01992002,0.078512,-0.04872349,-0.011084138,-0.3636766,-0.45479867,0.3585357,0.44948822,0.06556323,0.037248813,0.33538073,0.22289434,-0.009654746,0.067662746,-0.06880645,0.10899521,-0.2932842,0.081222154,-0.11560487,-0.17635359,0.1673354
ESZM035-17,-0.096221305,0.20047149,0.14333792,0.04579559,-0.028546998,-0.18563074,0.23799366,0.008468963,-0.0041659153,-0.050441287,0.20203207,0.24390367,0.19542351,-0.2534322,-0.19096924,0.039995894,-0.11293835,0.2058584,0.37903813,0.16745968,-0.18801056,0.14559169,0.2831083,-0.35755926,-0.09090452,0.16054451,-0.13921581,0.099738024,0.27539492,0.09394718,0.23707317,0.21049793,-0.3984871,-0.03388408,-0.06017571,0.08102095,-0.08272077,0.30991486,0.20799269,-0.036993627,0.35825527,0.14705826,0.07489455,-0.12080941,0.05533767,-0.012439965,0.032498825,-0.33168152,-0.16088903,0.07772874,0.33070675,0.03363548,-0.074966185,0.19706379,0.10886506,-0.008631165,0.010519835,0.02402734,0.09026906,-0.36061853,0.058078285,-0.13486014,-0.16963513,-0.019939898
ESZP041-14,0.006950129,0.011405118,0.0112975575,-0.013502624,-0.0004062783,-0.011885937,-0.012784505,0.0048809852,0.009113476,-0.009142276,0.007880529,-0.015261387,0.013610126,-0.0015258938,-0.003125731,0.006922696,0.0129465815,0.011326091,0.00803709,0.011586597,-0.009502184,-0.00946819,-0.0012921281,-0.013775051,0.0068261437,-0.015385864,0.0012548584,0.008744501,0.011401873,-0.004084887,-0.015576456,0.0011080988,-0.0039635636,-0.008461336,-0.014377449,-0.0036823377,-0.006664181,-0.015482696,0.005412629,-0.008663183,0.014547281,0.0009267125,-0.008387603,-0.0064396653,-0.010283826,-0.0007878952,-0.012965791,0.0006103106,-0.013739368,-0.009615699,-0.013499886,-0.0063861553,0.008077938,0.01117374,-0.006977545,-0.010213906,0.0106985085,-0.00496988,-0.010808617,-0.014836727,-0.0077565406,-0.00081123225,-0.014455946,-0.0053504147
ESTS016-17,-0.13913402,0.024646658,0.41824552,-0.14422986,0.041697074,0.0017546653,0.12156723,-0.13460927,0.094903655,0.18159664,0.18894194,0.23809116,0.21709023,-0.25764495,-0.45057398,-0.12333014,0.1406106,0.017973296,0.12278649,0.34099156,-0.39904863,0.16985472,0.49473754,-0.63732934,-0.051874764,0.26505393,0.0022880982,0.021665672,0.1905043,0.064041406,0.14729878,0.458362,-0.6395678,0.08466081,-0.029146599,-0.07741752,-0.058677994,0.3140146,0.2714889,0.06933464,0.40415886,0.06372624,-0.043615542,0.04141688,0.15747377,-0.091785975,0.25919202,-0.4232494,-0.3259889,0.27875677,0.30168685,-0.042356852,-0.16255988,0.1395718,-0.030269064,-0.06945136,0.21947126,-0.15291971,0.16975386,-0.4970592,0.10034446,-0.3470243,0.061202876,0.035986055
